"title","link","image","director","country","year","description"
"45 Years","https://www.criterionchannel.com/45-years","https://vhx.imgix.net/criterionchannelchartersu/assets/fc52946e-07bb-4182-ba9b-f0a69fa5f253.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Andrew Haigh","United Kingdom,","2015","Directed by Andrew Haigh • 2015 • United Kingdom
Starring Charlotte Rampling, Tom Courtenay

In this exquisitely calibrated film, Charlotte Rampling and Tom Courtenay perform a subtly off-kilter pas de deux as Kate and Geoff, an English couple who, on the eve of an anniversary celebration, find their long marriage shaken by the arrival of a letter to Geoff that unceremoniously collapses his past into their shared present. Director Andrew Haigh carries the tradition of British realist cinema to artful new heights in 45 YEARS, weaving the momentous into the mundane as the pair go about their daily lives, while the evocatively flat, wintry Norfolk landscape frames their struggle to maintain an increasingly untenable status quo. Loosely adapting a short story by David Constantine, Haigh shifts the focus from the slightly erratic Geoff to Kate, eliciting a remarkable, nuanced portrayal by Rampling of a woman’s gradual metamorphosis from unflappable wife to woman undone."
"THE 47 RONIN: Part 1","https://www.criterionchannel.com/the-47-ronin","https://vhx.imgix.net/criterionchannelchartersu/assets/25216926-863b-42d9-93c4-68b7806fd586.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Kenji Mizoguchi","Japan,","1941","47 samurai avenge the death of their lord in Kenji Mizoguchi&#39;s take on the famous historical event."
"THE 47 RONIN: Part 2","https://www.criterionchannel.com/videos/the-47-ronin-part-2","https://vhx.imgix.net/criterionchannelchartersu/assets/543f4592-561e-4c22-a6c3-b0dd7bdcaadf.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Kenji Mizoguchi","Japan,","1941","Directed by Kenji Mizoguchi • 1941 • Japan

47 samurai avenge the death of their lord in Kenji Mizoguchi&#39;s take on the famous historical event."
"49th Parallel","https://www.criterionchannel.com/49th-parallel","https://vhx.imgix.net/criterionchannelchartersu/assets/d2d0a628-c1fb-42c8-a4ae-5e0ca848b50f.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Michael Powell","United Kingdom,","1941","Directed by Michael Powell • 1941 • United Kingdom
Starring Laurence Olivier, Raymond Massey, Anton Walbrook

At once a compelling piece of anti-isolationist propaganda and a quick-witted wartime thriller, 49TH PARALLEL is a classic early work from the inimitable British filmmaking team of Michael Powell and Emeric Pressburger. When a Nazi U-boat crew, headed by the ruthless Eric Portman, is stranded in Canada during the thick of World War II, the men evade capture by hiding out in a series of rural communities, before trying to cross the border into the still-neutral United States. Both soul-stirring and delightfully entertaining, 49TH PARALLEL features a colorful cast of characters played by larger-than-life actors Laurence Olivier, Raymond Massey, Anton Walbrook, and Leslie Howard."
"65 Revisited","https://www.criterionchannel.com/65-revisited","https://vhx.imgix.net/criterionchannelchartersu/assets/b647ab85-3618-4796-8834-152664af4ff6.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","D. A. Pennebaker","","2007","Directed by D. A. Pennebaker • 2007 • United States

In DONT LOOK BACK, D. A. Pennebaker immortalized Bob Dylan’s landmark 1965 British tour with one of the greatest music documentaries of all time. With 65 REVISITED, Pennebaker returned to his trove of archival footage to create an alternate record of that now-legendary tour, assembling outtakes and unused footage for an equally intimate, revealing document of the brilliantly enigmatic singer-songwriter as he bid farewell to his acoustic phase. Devoting more time to the music than the original film, this essential companion piece features Dylan’s enthralling performances of songs like “It’s Alright, Ma (I’m Only Bleeding),” “Don’t Think Twice, It’s All Right,” and “If You Gotta Go, Go Now,” alongside appearances by fellow luminaries like Joan Baez, Nico, and Bob Neuwirth."
"71 Fragments of a Chronology of Chance","https://www.criterionchannel.com/71-fragments-of-a-chronology-of-chance","https://vhx.imgix.net/criterionchannelchartersu/assets/b1d75cf0-d974-4273-ac1e-772c610302c2.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Michael Haneke","Germany,","1994","Directed by Michael Haneke • 1994 • Austria, Germany
Starring Gabriel Cosmin Urdes, Lukas Miko, Otto Grümandl

The simultaneously random and interconnected nature of modern existence comes into harrowing focus in the despairing final installment of Michael Haneke’s trilogy. Seventy-one intricate, puzzlelike scenes survey the routines of a handful of seemingly unrelated people—including an undocumented Romanian boy living on the streets of Vienna, a couple who are desperate to adopt a child, and a college student on the edge—whose stories collide in a devastating encounter at a bank. The omnipresent drone of television news broadcasts in 71 FRAGMENTS OF A CHRONOLOGY OF CHANCE underscores Haneke’s vision of a numb, dehumanizing world in which emotional estrangement can be punctured only by the shock of sudden violence."
"92 in the Shade","https://www.criterionchannel.com/92-in-the-shade","https://vhx.imgix.net/criterionchannelchartersu/assets/844b24be-11ca-4bb6-8a0c-390a128f2aab.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Thomas McGuane","United States,","1975","Directed by Thomas McGuane • 1975 • United States
Starring Peter Fonda, Warren Oates, Margot Kidder

Thomas McGuane adapted his own novel for this wonderfully weird, deadpan portrait of outsiders and oddballs living in Key West, Florida. Peter Fonda stars as a wannabe fishing guide who finds himself drawn into a dangerous rivalry with a crusty, irascible backwater boatman (the one and only Warren Oates). The offbeat cast—including Harry Dean Stanton, Burgess Meredith, a pre–Lois Lane Margot Kidder, and Sylvia Miles—delivering deliciously florid dialogue in the sun-blasted Florida setting makes for a one-of-a-kind, almost surreally entertaining seriocomedy that eschews narrative structure in favor of a loose-limbed, lo-fi quirkiness."
"The 400 Blows","https://www.criterionchannel.com/the-400-blows","https://vhx.imgix.net/criterionchannelchartersu/assets/d68aef18-52c8-4851-81fc-c053a09a5968.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","François Truffaut","France,","1959","Criterion Collection Edition #5

Directed by François Truffaut • 1959 • France
Starring Jean-Pierre Léaud, Claire Maurier, Albert Rémy

François Truffaut’s first feature is also his most personal. Told through the eyes of Truffaut’s cinematic counterpart, Antoine Doinel (Jean-Pierre Léaud), THE 400 BLOWS sensitively re-creates the trials of Truffaut’s own childhood, unsentimentally portraying aloof parents, oppressive teachers, and petty crime. The film marked Truffaut’s passage from leading critic to trailblazing auteur of the French New Wave."
"121280 Ritual","https://www.criterionchannel.com/121280-ritual","https://vhx.imgix.net/criterionchannelchartersu/assets/0ab56109-ae28-4b27-b416-e0501a17d209.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Rea Wallden and Antoinetta Angelidi","Greece,","2008","Directed by Antoinetta Angelidi • 2008 • Greece

Filmed in 1980 and completed in 2008, Antoinetta Angelidi’s candid self-portrait is a song to life and an incantatory vision of pregnancy as a kind of ritual."
"Abbas Kiarostami: Truths and Dreams","https://www.criterionchannel.com/abbas-kiarostami-truths-and-dreams","https://vhx.imgix.net/criterionchannelchartersu/assets/33582140-d044-4cb3-b267-7f90c553d1ff.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jean-Pierre Limosin","France,","1994","Directed by Jean-Pierre Limosin • 1994 • France
Starring Abbas Kiarostami

This documentary by Jean-Pierre Limosin was broadcast as the November 28, 1994, episode of the French television show “Cinéma, de notre temps.” Featuring footage of Abbas Kiarostami returning to the Koker region, it chronicles the director&#39;s career to that point, including development of THE KOKER TRILOGY."
