"title","link","image","director","country","year","description"
"The Importance of Being Earnest","https://www.criterionchannel.com/the-importance-of-being-earnest","https://vhx.imgix.net/criterionchannelchartersu/assets/cd968d86-61be-4aab-bfde-3aa067228a6b.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Anthony Asquith","United Kingdom,","1952","Directed by Anthony Asquith • 1952 • United Kingdom
Starring Michael Redgrave, Joan Greenwood, Dame Edith Evans

Oscar Wilde’s comic jewel sparkles in Anthony Asquith’s film adaptation of THE IMPORTANCE OF BEING EARNEST. Featuring brilliantly polished performances by Michael Redgrave, Joan Greenwood, and Dame Edith Evans, the enduringly hilarious story of two young women who think themselves engaged to the same nonexistent man is given the grand Technicolor treatment. Seldom has a classic stage comedy been so engagingly transferred to the screen."
"In a Lonely Place","https://www.criterionchannel.com/videos/in-a-lonely-place","https://vhx.imgix.net/criterionchannelchartersu/assets/1a832b58-4d0b-424e-b18b-22bc2c32e151.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Nicholas Ray","United States,","1950","Directed by Nicholas Ray • 1950 • United States
Starring Humphrey Bogart, Gloria Grahame

When a gifted but washed-up screenwriter with a hair-trigger temper—Humphrey Bogart, in a revelatory, vulnerable performance—becomes the prime suspect in a brutal Tinseltown murder, the only person who can supply an alibi for him is a seductive neighbor (Gloria Grahame) with her own troubled past. The emotionally charged IN A LONELY PLACE, freely adapted from a Dorothy B. Hughes thriller, is a brilliant, turbulent mix of suspenseful noir and devastating melodrama, fueled by powerhouse performances. An uncompromising tale of two people desperate to love yet struggling with their demons and each other, this is one of the greatest films of the 1950s, and a benchmark in the career of the classic Hollywood auteur Nicholas Ray."
"In a Year of 13 Moons","https://www.criterionchannel.com/in-a-year-of-13-moons","https://vhx.imgix.net/criterionchannelchartersu/assets/eb381a49-b1fe-4489-9bc5-5e5e2b3ba948.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Rainer Werner Fassbinder","West Germany,","1978","Directed by Rainer Werner Fassbinder • 1978 • West Germany
Starring Volker Spengler, Ingrid Caven, Gottfried John

This heartrendingly compassionate tragedy from Rainer Werner Fassbinder traces the final days in the life of Elvira (Volker Spengler), a transgender woman spurned by her former lover, as she reaches out desperately for understanding. With infinite empathy for the plight of the dispossessed, Fassbinder crafts a searing statement on both the universal need for love and the human capacity for cruelty."
"In Celebration","https://www.criterionchannel.com/in-celebration","https://vhx.imgix.net/criterionchannelchartersu/assets/dc3ede37-274d-4606-9831-ad6cf5ba121a.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Lindsay Anderson","United Kingdom,","1975","Directed by Lindsay Anderson • 1975 • United Kingdom
Starring Brian Cox, Alan Bates, Gabrielle Daye

Director Lindsay Anderson brings his acclaimed stage version of David Storey’s ferocious and poignant drama to the screen, utilizing the same brilliant cast for a riveting cinematic triumph. A caustic portrait of generational hypocrisy, IN CELEBRATION unfolds in a tiny cottage in a Yorkshire mining town where hardworking, God-fearing couple Mr. and Mrs. Shaw (Bill Owen and Constance Chapman) welcome their sons—Andrew (Alan Bates), Colin (James Bolam), and Steven (Brian Cox)—home to celebrate their fortieth wedding anniversary. But with each son’s arrival, more and more of the Shaw’s model blue-collar family facade begins to chip away—revealing a modern family living at a medieval level of disharmony."
"India Cabaret","https://www.criterionchannel.com/india-cabaret","https://vhx.imgix.net/criterionchannelchartersu/assets/d2b4e815-8ce1-4424-b8fc-639ff1de18f2.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Mira Nair","India,","1985","Directed by Mira Nair • 1985 • India

This documentary examines the line separating “good” and “bad” women in Indian society, specifically by focusing on the dancers at a Bombay strip club, a frequent patron, and his stay-at-home wife."
"India: Matri Bhumi","https://www.criterionchannel.com/india-matri-bhumi","https://vhx.imgix.net/criterionchannelchartersu/assets/9afec14c-98ec-417e-be32-96ac133bd8b8.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Roberto Rossellini","Italy,","1959","Directed by Roberto Rossellini • 1959 • Italy

Documentary and narrative merge in Roberto Rossellini’s miraculous, poetic portrait of India. Commissioned by India’s first prime minister, Jawaharlal Nehru, INDIA: MATRI BHUMI takes us beyond the bustling streets of the cities and into the country’s rural villages, where humans, nature, and animals coexist even as the forces of industrial modernization encroach. This unique blend of neorealist travelogue and scripted vignettes was cited by Rossellini as a personal favorite among his own works."
"India Song","https://www.criterionchannel.com/india-song-1","https://vhx.imgix.net/criterionchannelchartersu/assets/5e2c684f-2745-422b-8446-dcaba3240789.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Marguerite Duras","France,","1975","Directed by Marguerite Duras • 1975 • France
Starring Delphine Seyrig, Michael Lonsdale, Mathieu Carrière

The most celebrated of writer-filmmaker Marguerite Duras’s singular features unfolds within the decaying decadence of an embassy in 1930s India, where a French diplomat’s wife (Delphine Seyrig) pursues multiple love affairs while succumbing to a sense of overpowering ennui. Sex, madness, and colonial guilt are interwoven into a hauntingly beautiful, almost incantatory experience with few stylistic precedents in the history of cinema."
"Infernal Affairs","https://www.criterionchannel.com/infernal-affairs","https://vhx.imgix.net/criterionchannelchartersu/assets/3805a3a8-c15d-45f0-84c0-825ac284497f.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Andrew Lau Wai-keung and Alan Mak","Hong Kong,","2002","Directed by Andrew Lau Wai-keung and Alan Mak • 2002 • Hong Kong
Starring Andy Lau Tak-wah, Tony Leung Chiu-wai, Anthony Wong Chau-sang

Two of Hong Kong cinema’s most iconic leading men, Tony Leung Chiu-wai and Andy Lau Tak-wah, face off in the breathtaking thriller that revitalized the city-state’s twenty-first-century film industry, launched a blockbuster franchise, and inspired Martin Scorsese’s THE DEPARTED. The setup is diabolical in its simplicity: two undercover moles—a police officer (Leung) assigned to infiltrate a ruthless triad by posing as a gangster, and a gangster (Lau) who becomes a police officer in order to serve as a spy for the underworld—find themselves locked in a deadly game of cat and mouse, each racing against time to unmask the other. As the shifting loyalties, murky moral compromises, and deadly betrayals mount, INFERNAL AFFAIRS raises haunting questions about what it means to live a double life, lost in a labyrinth of conflicting identities and allegiances."
"Infernal Affairs II","https://www.criterionchannel.com/infernal-affairs-ii","https://vhx.imgix.net/criterionchannelchartersu/assets/98ac7af1-bed8-4b85-804d-872b5c1e2376.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Andrew Lau Wai-keung and Alan Mak","Hong Kong,","2003","Directed by Andrew Lau Wai-keung and Alan Mak • 2003 • Hong Kong
Starring Edison Chen Koon-hei, Shawn Yue Man-lok, Anthony Wong Chau-sang

The first of two sequels to follow in the wake of the massively successful INFERNAL AFFAIRS softens the original’s furious pulp punch in favor of something more sweeping, elegiac, and overtly political. Flashing back in time, INFERNAL AFFAIRS II traces the tangled histories that bind the trilogy’s two pairs of adversaries: the young, dueling moles (here played by Edison Chen Koon-hei and Shawn Yue Man-lok), and the ascendant crime boss (Eric Tsang Chi-wai) and police inspector (Anthony Wong Chau-sang) whose respective rises reveal a shocking hidden connection. Unfolding against the political and psychological upheaval of Hong Kong’s handover from Britain to China, this elegant, character-driven crime drama powerfully connects its themes of split loyalties to the city-state’s own postcolonial identity crisis."
"Infernal Affairs III","https://www.criterionchannel.com/infernal-affairs-iii","https://vhx.imgix.net/criterionchannelchartersu/assets/c3696a00-fa66-4dbe-92fd-3a1c5d806af8.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Andrew Lau Wai-keung and Alan Mak","Hong Kong,","2003","Directed by Andrew Lau Wai-keung and Alan Mak • 2003 • Hong Kong
Starring Andy Lau Tak-wah, Tony Leung Chiu-wai, Leon Lai

Tony Leung Chiu-wai and Andy Lau Tak-wah return for the cathartic conclusion of the INFERNAL AFFAIRS trilogy, which layers on even more deep-cover intrigue while steering the series into increasingly complex psychological territory. Dancing back and forth in time to before and after the events of the original film, INFERNAL AFFAIRS III follows triad gangster turned corrupt cop Lau Kin-ming (Lau) as he goes to dangerous lengths to avoid detection, matches wits with a devious rival in the force (Leon Lai), and finds himself haunted by the fate of his former undercover nemesis (Leung). A swirl of flashbacks, memories, and hallucinations culminates in a dreamlike merging of identities that drives home the trilogy’s vision of a world in which traditional distinctions between good and evil have all but collapsed."
"Influenza","https://www.criterionchannel.com/influenza","https://vhx.imgix.net/criterionchannelchartersu/assets/0e3872c7-af69-4a44-8ef1-4be1f28d8de4.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Bong Joon Ho","South Korea,","2004","Directed by Bong Joon Ho • 2004 • South Korea

Bong Joon Ho’s signature themes of violence and social struggle find disturbing expression in this audacious short, which tracks a man’s descent into a life of crime entirely through CCTV footage."
"INGENIVM NOBIS IPSA PVELLA FECIT, Part I","https://www.criterionchannel.com/ingenivm-nobis-ipsa-pvella-fecit-part-i","https://vhx.imgix.net/criterionchannelchartersu/assets/5e382856-8637-45df-a98d-f16aa11a3fab.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Hollis Frampton","United States,","1975","Directed by Hollis Frampton • 1975 • United States

The sixty-seven minute VERNAL EQUINOX was a work originally intended to represent spring in Hollis Frampton’s seasonal film cycle SOLARIUMAGEANI (1974). He later repurposed the film, calling it INGENIVM NOBIS IPSA PVELLA FECIT and dividing it into thirteen sections to be shown during the phase Straits of Magellan; the opening part is presented here. According to avant-garde film historian P. Adams Sitney, the new title can be translated as ‘The Girl Herself Gave Us the Idea’ or ‘The Girl Herself Did the Trick for Us.’"
"Ingmar Bergman Makes a Movie","https://www.criterionchannel.com/ingmar-bergman-makes-a-movie","https://vhx.imgix.net/criterionchannelchartersu/assets/5c8a103a-bd5c-4b83-b137-3a8e772e6be6.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Vilgot Sjöman","Sweden,","1962","The year is 1961 and Ingmar Bergman is making a movie. While planted on the scene as apprentice to Bergman, Vilgot Sjöman (director, I AM CURIOUS–YELLOW, 1967), and a crew from Swedish Television begin to capture what would become a comprehensive five-part documentary on the making of WINTER LIGHT."
"Ingrid Bergman: In Her Own Words","https://www.criterionchannel.com/ingrid-bergman-in-her-own-words","https://vhx.imgix.net/criterionchannelchartersu/assets/be855df4-a1a0-43aa-872a-a2b7de81c177.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Stig Björkman","Sweden,","2015","Directed by Stig Björkman • 2015 • Sweden

Whether headlining films in Sweden, Italy, or Hollywood, Ingrid Bergman always pierced the screen with a singular soulfulness. With this new documentary, made on the occasion of the one hundredth anniversary of Bergman&#39;s birth, director Stig Björkman allows us unprecedented access to her world, culling from the most personal of archival materials, letters, diary entries, photographs, and 8 mm and 16 mm footage Bergman herself shot, and following her from youth to tumultuous married life and motherhood. Intimate and artful, this lovingly assembled portrait, narrated by actor Alicia Vikander, provides luminous insight into the life and career of an undiminished legend."
"In Heaven There Is No Beer?","https://www.criterionchannel.com/in-heaven-there-is-no-beer","https://vhx.imgix.net/criterionchannelchartersu/assets/24d88cd4-8f3a-4a88-8f2b-538a36ab1eca.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Les Blank","United States,","1984","Directed by Les Blank • 1984 • United States

The life, culture and food of the polka culture in America today."
"The Inheritance","https://www.criterionchannel.com/the-inheritance","https://vhx.imgix.net/criterionchannelchartersu/assets/eeb00bfb-c78a-465a-a107-c66d88a43983.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Masaki Kobayashi","Japan,","1962","Directed by Masaki Kobayashi • 1962 • Japan

On his deathbed, a wealthy businessman announces that his fortune is to be split equally among his three illegitimate children, whose whereabouts are unknown. A bevy of lawyers and associates begin machinations to procure the money for themselves, resorting to the use of impostors and blackmail. Yet all are outwitted by the cunning of the man&#39;s secretary (Keiko Kishi), in this entertaining condemnation of unchecked greed."
"Inland Empire","https://www.criterionchannel.com/inland-empire","https://vhx.imgix.net/criterionchannelchartersu/assets/15de70d0-d6ec-4542-989c-91b0db208ac4.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","David Lynch","United States,","2006","Directed by David Lynch • 2006 • United States
Starring Laura Dern, Jeremy Irons, Justin Theroux

“Strange, what love does.” The role of a lifetime, a Hollywood mystery, a woman in trouble . . . David Lynch’s first digitally shot feature makes visionary use of the medium to weave a vast meditation on the enigmas of time, identity, and cinema itself. Featuring a tour-de-force performance from Laura Dern as an actor on the edge, this labyrinthine Dream Factory nightmare tumbles down an endless series of unfathomably interconnected rabbit holes as it takes viewers on a hallucinatory odyssey into the deepest realms of the unconscious mind."
"The Inland Sea","https://www.criterionchannel.com/the-inland-sea","https://vhx.imgix.net/criterionchannelchartersu/assets/e1a53641-278a-4584-a5bb-64b998826088.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Lucille Carra","United States,","1991","Directed by Lucille Carra • 1991 • United States
Starring Donald Richie

In 1971, author and film scholar Donald Richie published a poetic travelogue about his explorations of the islands of Japan’s Inland Sea, recording his search for traces of a traditional way of life as well as his own journey of self-discovery. Twenty years later, filmmaker Lucille Carra undertook a parallel trip inspired by Richie’s by-then-classic book, capturing images of hushed beauty and meeting people who still carried on the fading customs that Richie had observed. Interspersed with surprising detours—a visit to a Frank Sinatra–loving monk, a leper colony, an ersatz temple of plywood and plaster—and woven together by Richie’s narration as well as a score by celebrated composer Toru Takemitsu, THE INLAND SEA is an eye-opening voyage and a profound meditation on what it means to be a foreigner."
"An Inn in Tokyo","https://www.criterionchannel.com/an-inn-in-tokyo","https://vhx.imgix.net/criterionchannelchartersu/assets/b72a1edc-2157-479e-b80f-e56b8317261b.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Yasujiro Ozu","Japan,","1935","Directed by Yasujiro Ozu • 1935 • Japan

The final still-extant silent film directed by Yasujiro Ozu is an exquisitely tender portrait of everyday survival in 1930s Japan. Anticipating the neorealist poetry of BICYCLE THIEVES, AN INN IN TOKYO follows unemployed ne’er-do-well Kihachi (Takeshi Sakamoto) and his young sons as they eke out an existence on the city’s margins, catching stray dogs for reward money and eventually becoming involved with a similarly impoverished woman and her daughter. With its simple yet elegant compositions and striking use of Tokyo’s industrial landscapes, this bittersweet slice-of-life tale represents a key work in the evolution of Ozu’s artistry."
"Innocence Unprotected","https://www.criterionchannel.com/innocence-unprotected","https://vhx.imgix.net/criterionchannelchartersu/assets/754090fa-82c6-429b-80c4-3f1319881299.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Dušan Makavejev","Yugoslavia,","1968","Directed by Dušan Makavejev • 1968 • Yugoslavia

This utterly unclassifiable film is one of Makavejev&#39;s most freewheeling farces, assembled from the &quot;lost&quot; footage of the first Serbian talkie, a silly melodrama titled Innocence Unprotected, made during the Nazi occupation; contemporary interviews with the megaman who made it and other crew members; and images of the World War II destruction, and subsequent rebuilding, of Belgrade. And at its center is a (real-life) character you won&#39;t soon forget: Dragoljub Aleksic, an acrobat, locksmith, and Houdini-style escape artist whom Makavejev uses as the absurd and wondrous basis for a look back at his country&#39;s tumultuous recent history."
"The Innocent","https://www.criterionchannel.com/the-innocent","https://vhx.imgix.net/criterionchannelchartersu/assets/95988dad-799d-4eba-9c79-6152d2f0057e.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Louis Garrel","France,","2022","Directed by Louis Garrel • 2022 • France
Starring Louis Garrel, Roschdy Zem, Noémie Merlant

Part crime thriller, part family farce, Louis Garrel’s THE INNOCENT shows the dangerous lengths two men go to, and the outlandish lies they tell, for the women they love. Garrel stars as Abel, a museum educator and widower whose mother, Sylvie (Anouk Grinberg), marries Michel (Roschdy Zem), one of her drama pupils in the local penitentiary. Once on parole, Michel attempts to start a legitimate life for Sylvie’s sake but soon reverts to his old ways, with the suspicious Abel continually—and ineptly—spying on his stepfather until roped into one of the ex-con’s schemes. Complicating matters is Clémence (Noémie Merlant), the brazen coworker who convinces Abel to break out of his emotional and romantic shell by taking part in Michel’s planned heist. Directing from his own screenplay (as cowritten by Tanguy Viel and Naïla Guiguet), Garrel explores the comedic results of playacting’s intrusion into real life, as well as real life’s comedic tendency to transform us into what we never thought we could be, but perhaps always were.

“Sly and wonderful . . . Few caper comedies have this much heart, and few romantic dramas offer such an appealingly nutty plot.” 
—Kyle Smith, The Wall Street Journal

“A humanistic story wrapped in a fun, punchy exterior . . . A light, enjoyable confection of a film.” 
—Claire Shaffer, The New York Times

“A witty and elegantly constructed film that joyfully draws parallels between acting and lying, being and pretending, while remaining breezy, fun, eminently accessible, and even welcoming.” 
—Elena Lazic, The Playlist"
"Innocents Abroad","https://www.criterionchannel.com/innocents-abroad","https://vhx.imgix.net/criterionchannelchartersu/assets/bd78cecb-ea16-4f76-9617-3fdee1616714.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Les Blank, Vikram Jayanti, and Chris Simon","United States,","1991","Directed by Les Blank, Vikram Jayanti, and Chris Simon • 1991 • United States

Les Blank’s wit and warmth shine through this droll portrait of a busload of American tourists on a whirlwind tour of Europe that takes them to twenty-two cities in ten countries over the course of two weeks. Wryly touching on cultural stereotypes versus realities as well as the ethics of modern tourism, INNOCENTS ABROAD is a gently satirical but always human look at what happens when the Old and New Worlds collide."
"An Innocent Witch","https://www.criterionchannel.com/an-innocent-witch","https://vhx.imgix.net/criterionchannelchartersu/assets/66951967-7a3b-4ed3-9ff0-44b38f1b2e48.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Heinosuke Gosho","Japan,","1965","Directed by Heinosuke Gosho • 1965 • Japan

Heinosuke Gosho&#39;s darkest and most acclaimed film of the &#39;60s, AN INNOCENT WITCH recounts the life of a young woman who is sold by her family into a brothel in a rural fishing village."
"In Paris Parks","https://www.criterionchannel.com/in-paris-parks","https://vhx.imgix.net/criterionchannelchartersu/assets/a2900586-2d38-4208-adf2-a2bf925e6034.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Shirley Clarke","United States,","1954","Directed by Shirley Clarke • 1954 • United States

An early work by director Shirley Clarke, this short film displays the dynamic movement of people (including Wendy Clarke, the director’s daughter) as they enter and exit parks in Paris. Observing how crowds flow through an urban setting, the film also features Clarke’ eloquent editing, as the rhythmic cuts develop a tempo that compliments the footage."
"The Insect Woman","https://www.criterionchannel.com/the-insect-woman","https://vhx.imgix.net/criterionchannelchartersu/assets/71676f9e-6da9-4c4b-ab00-8e623d4f31ac.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Shohei Imamura","Japan,","1963","Directed by Shohei Imamura • 1963 • Japan
Starring Sachiko Hidari

Born in a rural farming village in 1918, Tomé survives decades of Japanese social upheaval, as well as abuse and servitude at the hands of various men. Yet Shohei Imamura, ever the cinematic “entomologist,” refuses to make a victim of her, instead observing Tomé (played by the extraordinary Sachiko Hidari) as a fascinating, pragmatic creature of twentieth-century Japan. A portrait of opportunism and resilience in three generations of women, THE INSECT WOMAN is Imamura’s most expansive film, and Tomé his ultimate heroine."
"Insiang","https://www.criterionchannel.com/insiang","https://vhx.imgix.net/criterionchannelchartersu/assets/a9056578-050c-43ea-9e70-86b4b570f866.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Lino Brocka","Philippines,","1976","Martin Scorsese’s World Cinema Project

Directed by Lino Brocka • 1976 • Philippines
Starring Hilda Koronel, Mona Lisa, Ruel Vernal

Jealousy and violence take center stage in this claustrophobic melodrama, a tautly constructed character study set in the slums of Manila. Lino Brocka crafts an eviscerating portrait of an innocent daughter and her bitter mother as women scorned. Insiang leads a quiet life dominated by household duties, but after she is raped by her mother’s lover and abandoned by the young man who claims to care for her, she exacts vicious revenge. A savage commentary on the degradations of urban poverty, especially for women, INSIANG was the first Philippine film ever to play at Cannes.

Restored by the Cineteca di Bologna/ L’Immagine Ritrovata. Restoration funded by The Film Foundation’s World Cinema Project and the Film Development Council of the Philippines."
"Insignificance","https://www.criterionchannel.com/insignificance","https://vhx.imgix.net/criterionchannelchartersu/assets/dad314b2-14a8-49b2-b707-8edb630697f2.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Nicolas Roeg","United Kingdom,","1985","Directed by Nicolas Roeg • 1985 • United Kingdom
Starring Theresa Russell, Gary Busey, Tony Curtis

Four unnamed people who look and sound a lot like Albert Einstein, Marilyn Monroe, Joe DiMaggio, and Joseph McCarthy converge in one New York City hotel room in this compelling, visually inventive adaptation of Terry Johnson’s play, from director Nicolas Roeg. With a combination of whimsy and dread, Roeg creates a fun-house-mirror image of fifties America in order to reflect on the nature of celebrity and lingering cold-war nuclear nightmares. INSIGNIFICANCE is a delirious, intelligent drama, featuring magnetic performances by Michael Emil as the Professor, Theresa Russell as the Actress, Gary Busey as the Ballplayer, and Tony Curtis as the Senator."
"Insomnia","https://www.criterionchannel.com/insomnia","https://vhx.imgix.net/criterionchannelchartersu/assets/7f1fd8d5-a4b0-42eb-8e76-9fbd3e0b62fd.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Erik Skjoldbjærg","Norway,","1997","Directed by Erik Skjoldbjærg • 1997 • Norway
Starring Stellan Skarsgård, Sverre Anker Ousdal, Bjørn Floberg

In this elegantly unsettling murder mystery, Stellan Skarsgård plays an enigmatic Swedish detective with a checkered past who arrives in a small town in northern Norway to investigate the death of a teenage girl. As he digs deeper into the facts surrounding the heinous killing, his own demons and the tyrannical midnight sun begin to take a toll. The success of Erik Skjoldbjærg’s chilling procedural anticipated the international hunger for Scandinavian noirs and serial-killer fictions, and the film features one of Skarsgård’s greatest performances."
"Inspiration","https://www.criterionchannel.com/inspiration","https://vhx.imgix.net/criterionchannelchartersu/assets/4f83da53-3d0e-4534-89a9-2fb9494bee15-ac4b292c.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Karel Zeman","Czechoslovakia,","1949","Directed by Karel Zeman • 1949 • Czechoslovakia

This early short from 1949 showcases the technical skill, wit, and creativity of director Karel Zeman."
"Instrument","https://www.criterionchannel.com/instrument","https://vhx.imgix.net/criterionchannelchartersu/assets/d8df595b-1bb1-46b4-bf3e-462f08a5e364.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jem Cohen","United States,","1999","Directed by Jem Cohen • 1999 • United States
Starring Fugazi

Filmed over the course of more than ten years, from 1987 to 1998, INSTRUMENT is director Jem Cohen’s visceral, fittingly unconventional portrait of legendary DC punk band Fugazi from their origins through their electrifying prime. Capturing the blistering intensity of their live shows, intimate moments backstage and in the studio, and interviews with members including frontmen Ian MacKaye and Guy Picciotto, the film sheds light on an often enigmatic band whose unwavering commitment to their independent, anticorporate ideals—forgoing money and mainstream fame in favor of accessibility and activism—continues to inspire the DIY underground."
"Intentions of Murder","https://www.criterionchannel.com/intentions-of-murder","https://vhx.imgix.net/criterionchannelchartersu/assets/525343fe-9914-4f9c-bef3-fcf6ebd05165.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Shohei Imamura","Japan,","1964","Directed by Shohei Imamura • 1964 • Japan
Starring Masumi Harukawa, Kô Nishimura, Shigeru Tsuyuguchi

Sadako (Masumi Harukawa), cursed by generations before her and neglected by her common-law husband, falls prey to a brutal home intruder. But rather than become a victim, she forges a path to her own awakening. This disturbing and pitiless evocation of domestic drudgery and sexual violence is also a fascinating, unsentimental account of one woman’s determination. Filled with director Shohei Imamura’s characteristic flashbacks and dream sequences, INTENTIONS OF MURDER is a gripping, audacious portrait of a woman coming into her own in a man’s world."
"Interlude in the Marshland","https://www.criterionchannel.com/interlude-in-the-marshland","https://vhx.imgix.net/criterionchannelchartersu/assets/6aef62be-8d5b-4fed-a25d-2be38e75ec55.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Jan Troell","Sweden,","1965","Directed by Jan Troell • 1965 • Sweden

In 1965, director Jan Troell took part in the film 4 X 4, which comprises four shorts, each from a different Nordic country. Troell’s Swedish entry, INTERLUDE IN THE MARSHLAND, starring Max von Sydow and produced and cowritten by Bengt Forslund, is based on a story by Eyvind Johnson, author of the novels that form the basis for HERE IS YOUR LIFE."
"Intermezzo","https://www.criterionchannel.com/intermezzo","https://vhx.imgix.net/criterionchannelchartersu/assets/9b8cf465-bcf7-44dc-ae30-74350287e40b.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Gustaf Molander","Sweden,","1936","Directed by Gustaf Molander • 1936 • Sweden

This gorgeous romantic confection, which catalogs a doomed love affair between a married violin virtuoso and a young pianist, is graced by a leading performance by Ingrid Bergman (her first), in a role created especially for her; a costarring turn by the legendary Swedish actor Gösta Ekman; and beautiful direction by Gustaf Molander. It was a defining part for Bergman, as it made her a star in Sweden and caught the eye of American producer David O. Selznick, who offered the young actor a Hollywood contract and the chance to remake INTERMEZZO in English with Leslie Howard."
"Intervista","https://www.criterionchannel.com/intervista","https://vhx.imgix.net/criterionchannelchartersu/assets/63236340-0c9d-49e7-b23a-bb06a0db3fae.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Federico Fellini","Italy,","1987","Directed by Federico Fellini • 1987 • Italy
Starring Sergio Rubini, Antonella Ponziani, Maurizio Mein

Something of a late-career companion to 8½, Federico Fellini’s penultimate film is a similarly self-reflexive (and self-deprecating) journey through both the director’s dream life and his cinematic world—which are, here as always in Fellini’s work, inextricably entwined. In Rome to make a documentary about the great filmmaker, a Japanese camera crew follows Fellini on a tour through his longtime home studio of Cinecittà as the maestro’s memories and fantasies unfurl in a dizzying, dazzling, time-bending love letter to the art and spectacle of moviemaking. The film’s sprawling vision even makes room for an appearance by Marcello Mastroianni and Anita Ekberg who, in an unforgettable bit of movie magic, relive their iconic Trevi Fountain scene from LA DOLCE VITA, lent new poignancy by the tacit acknowledgement of time’s passing."
"Interview with Salvador Allende: Power and Reason","https://www.criterionchannel.com/interview-with-salvador-allende-power-and-reason","https://vhx.imgix.net/criterionchannelchartersu/assets/0b2dda76-6594-48ac-a547-3a8434d98aab.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Emidio Greco","Italy,","1973","Directed by Emidio Greco • 1973 • Italy

Roberto Rossellini interviews Chilean politician Salvador Allende."
"In the Mood for Love","https://www.criterionchannel.com/in-the-mood-for-love","https://vhx.imgix.net/criterionchannelchartersu/assets/0c521528-67db-4fae-a9f0-f76e9c0028da-80907d65.jpg?auto=format%2Ccompress&fit=crop&h=140&q=100&w=250","Wong Kar Wai","Hong Kong,","2000","Criterion Collection Edition #147

Directed by Wong Kar Wai • 2000 • Hong Kong
Starring Tony Leung Chiu-wai, Maggie Cheung Man-yuk

Hong Kong, 1962: Chow Mo-wan (Tony Leung Chiu-wai) and Su Li-zhen (Maggie Cheung Man-yuk) move into neighboring apartments on the same day. Their encounters are formal and polite—until a discovery about their spouses creates an intimate bond between them. At once delicately mannered and visually extravagant, Wong Kar Wai’s IN THE MOOD FOR LOVE is a masterful evocation of romantic longing and fleeting moments. With its aching musical soundtrack and exquisitely abstract cinematography by Christopher Doyle and Mark Lee Ping-bin, this film has been a major stylistic influence on the past decade of cinema, and is a milestone in Wong’s redoubtable career."
